First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research
Emanuela Rosati,"Emanuela Rosati, Rita Sabatini, Filomena De Falco, Beatrice Del Papa, Franca Falzetti, Mauro Di Ianni, Laura Cavalli, Katia Fettucciari, Andrea Bartoli, Isabella Screpanti, and Pierfrancesco Marconi","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","Int. J. Cancer: 132, 1940�1953 (2013)",10.1002/ijc.27863,2013,,,,1.0,,"Duplicated FACS panels, but different gating numbers",1,8/7/2015,,1.0,,1,University of Perugia,Italy,Clinical and Experimental Medicine,,,"Ovid Technologies, Inc., Wiley",34.0,19.0,1.79,55.0,59.0,11.0,,,
Emmanuel Dornier,"Emmanuel Dornier, Franck Coumailleau, Jean-Franc_ois Ottavi, Julien Moretti, Claude Boucheix, Philippe Mauduit, Fran�ois Schweisguth, and Eric Rubinstein 1",TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals,6 J. Cell Biol. Vol. 199 No. 3 481�496,10.1083/jcb.201201133,2012,,,,,1,Manipulated FACS plots,1,5/23/2016,,1.0,,1,Université Paris-Sud,France,Oncology,,PhD,"Europe PubMed Central, PubMed Central, Silverchair Information Systems",11.0,6.0,1.83,22.0,10.0,28.0,,,
Erica P. Homan,"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,2014,01January,,1.0,,,duplicated western blot panels,1,6/3/2014,,1.0,,1,Baylor College of Medicine,USA,Molecular and Human Genetics,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",14.0,14.0,1.0,2992.0,96.0,50.0,,,
Eva Hervet,"Eva Hervet, Xavier Charpentier, Anne Vianney, Jean-Claude Lazzaroni, Christophe Gilbert, Daniele Atlan, and Patricia Doublet",Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,"Infect. Immun. May 2011, p. 1936�1950 Vol. 79, No. 5",10.1128/IAI.00805-10,2011,IAI,,,1.0,,"Duplicated blot strips, stretched",1,7/8/2015,,1.0,,1,,France,Microbiologie,,,"Atypon, Europe PubMed Central, PubMed Central",3.0,4.0,0.75,22.0,10.0,28.0,,,
Fabio Sallustio,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1371/journal.pone.0068296,2013,07July,,,1.0,,"overlapping microscopy images,but rotated/stretched",1,5/8/2015,,1.0,,1,University of Salento,Italy,Emergency and Organ Transplantation,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",61.0,15.0,4.07,55.0,59.0,11.0,351-400,29.1,21.3
Fang Liu,"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,2014,01January,,,1.0,,"duplicated, and mirrored blots",1,9/15/2014,,1.0,,1,Indiana University,USA,Medicine,,MD,"Europe PubMed Central, PubMed Central, Public Library of Science",4939.0,26.0,189.96,2992.0,96.0,50.0,134,48.3,44.2
Feng Zhou,"Feng Zhou, Qibing Lin, Lihong Zhu, Yulong Ren, Kunneng Zhou, Nitzan Shabek, Fuqing Wu, Haibin Mao, Wei Dong, Lu Gan, Weiwei Ma, He Gao, Jun Chen, Chao Yang, Dan Wang, Junjie Tan, Xin Zhang, Xiuping Guo, Jiulin Wang, Ling Jiang, Xi Liu, Weiqi Chen, Jinfang Chu, Cunyu Yan, Kotomi Ueno, Shinsaku Ito, Tadao Asami, Zhijun Cheng, Jie Wang, Cailin Lei, Huqu Zhai, Chuanyin Wu, Haiyang Wang, Ning Zheng, and Jianmin Wan",D14�SCFD3-dependent degradation of D53 regulates strigolactone signalling,"Nature, Vol 504, 19/26 DECEMBER 2013",10.1038/nature12878,2013,,,,,1,"Duplicated microscopy, possible duplicated lanes in same blot",1,4/21/2016,,1.0,,1,Nanjing Agricultural University,China,Crop Genetics,,Ph.D,"Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central, eScholarship, California Digital Library, University of California",1681.0,29.0,57.97,426.0,4945.0,318.0,,,
Gail Doughton,"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,2014,04April,,,1.0,,"Duplicated compressed blots, overlapping microscopy",1,,,1.0,,1,University of Bath,UK,Biology and Biochemistry and Regenerative Medicine,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",5.0,9.0,0.56,229.0,4.0,5.0,276-300,28.0,28.8
Gayathri Chadalapaka,"Gayathri Chadalapaka, Indira Jutooru, Sandeep Sreevalsan, Satya Pathi, Kyounghyun Kim, Candy Chen, Lisa Crose, Corinne Linardic, and Stephen Safe",Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,"Int. J. Cancer: 132, 795�806 (2013)",10.1002/ijc.27730,2013,,,1.0,,,Duplicated microscopy images,1,7/1/2015,,1.0,,1,Texas A&M University,USA,Veterinary Physiology and Pharmacology,,PDA,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",26.0,8.0,3.25,2992.0,96.0,50.0,156,46.4,58.3
Gong Yang,"Gong Yang, Imelda Mercado-Uribe, Asha S. Multani, Subrata Sen, Ie-Ming Shih, Kwong-Kwok Wong, David M. Gershenson, and Jinsong Liu",RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,"Int. J. Cancer: 133, 275�286 (2013)",10.1002/ijc.28032,2013,,,,1.0,,Overlapping microscopy images,1,7/1/2015,,1.0,,1,Fudan University Shanghai Cancer Center,China,Cancer,,PhD,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",482.0,20.0,24.1,426.0,4945.0,318.0,,,
Gurbet Celik,"Gurbet Celik, Asli Semiz, Serdar Karakurt, Sevki Arslan, Orhan Adali, and Alaattin Sen",A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat,"BioMed Research International Volume 2013, Article ID 358945",10.1155/2013/358945,2013,,,1.0,,,Multiple cases of reused blot panels,1,12/1/2014,,1.0,,1,Pamukkale University,Turkey,Biology,,,"Europe PubMed Central, Hindawi Limited, PubMed Central",8.0,3.0,2.67,21.0,50.0,33.0,,,
H. Liu,"H. Liu, D. Gu, L. Sheng, Q. Wang, and Y. Zhang","Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids","Letters in Applied Microbiology 55, 73�81, 2012",10.1111/j.1472-765X.2012.03263.x,2012,,,,,1,duplicated blot panel,1,,,,1.0,1,East China University of Science and Technology,China,"Bioreactor En
gineering",,,"Ovid Technologies, Inc., Wiley",,,,426.0,4945.0,318.0,,,
HIROFUMI YAMAMOTO,"HIROFUMI YAMAMOTO, RYOTA OSHIRO, MASAHISA OHTSUKA, MAMORU UEMURA, NAOTSUGU HARAGUCHI, JUNICHI NISHIMURA, ICHIRO TAKEMASA, TSUNEKAZU MIZUSHIMA, YUICHIRO DOKI and MASAKI MORI",Distinct expression of C4.4A in colorectal cancer detected by different antibodies,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 197-201, 2013",10.3892/ijo.2012.1714,2012,,,1.0,,,Duplicated blot,1,9/16/2016,,1.0,,1,Osaka University,Japan,Medicine,,PhD,"Ingenta plc, Spandidos Publications",412.0,20.0,20.6,82.0,223.0,10.0,147,59.5,55.7
Haitao Wei,"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1371/journal.ppat.1003845,2014,01January,,,1.0,,"Duplicated blot panels, shifted",1,1/14/2016,,1.0,,1,Chinese Academy of Sciences,China,CAS Pathogenic Microbiology and Immunology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",35.0,14.0,2.5,426.0,4945.0,318.0,,,
Hakan Akca,"Hakan Akca, Aydin Demiray, Onur Tokgun, Jun Yokota",Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,Lung Cancer 73 (2011) 302�309,10.1016/j.lungcan.2011.01.012,2011,,,,,1,Duplicated bands within same blot,1,11/1/2016,,1.0,,1,Pamukkale University,Turkey,Medical Biology,,PhD,"ClinicalKey, Elsevier Science",41.0,20.0,2.05,21.0,50.0,33.0,,,
Henry E. Cerny,"Henry E. Cerny, Douglas G. Rogers, Jeffrey T. Gray, David R. Smith, and Susanne Hinkley","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","J. Clin. Microbiol. 2006, 44(3):772",10.1128/JCM.44.3.772-776.2006,2006,JCM,,1.0,,,duplicated microscopy panel,1,,,,1.0,1,,USA,Veterinary,,,"Atypon, Europe PubMed Central, PubMed Central",3.0,9.0,0.33,2992.0,96.0,50.0,,,
Hideki Sakahira,"Hideki Sakahira, Masato Enari, & Shigekazu Nagata",Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,Nature. 1998 Jan 1;391(6662):96-9.,10.1038/34214,1998,,,,,1,Duplicated lanes within same gel panel,1,10/29/2015,,1.0,,1,Osaka University,Japan,Genetics,,,"Nature Publishing Group, Ovid Technologies, Inc.",12.0,18.0,0.67,82.0,223.0,10.0,147,59.5,55.7
Hong Yu,"Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood",MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Cytokine 56 (2011) 245�255,10.1016/j.cyto.2011.06.006,2011,,,1.0,,,Duplicated negative blot,1,,,,1.0,1, Medical University of South Carolina,USA,Craniofacial Biology,,M.D.,"Elsevier Science, Europe PubMed Central, PubMed Central",2089.0,30.0,69.63,2992.0,96.0,50.0,,,
Hong-Xia Wang,"Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang","Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Cytokine 60 (2012) 360�368,10.1016/j.cyto.2012.04.029,2012,,,,,1,"Duplicated blot, lanes within blot",1,,,,1.0,1,Capital Medical University,China,Pathophysiology,,,Elsevier Science,198.0,19.0,10.42,426.0,4945.0,318.0,,,
Hui Li,"Hui Li, Jinglan Wang, Gil Mor, Jeffrey Sklar",A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,"Science 321, 1357 (2008)",10.1126/science.1156725,2008,,,,1.0,,"Duplicated panel, different exposure?",1,10/2/2015,,1.0,,1,Yale University,USA,Pathology,,Ph.D.,"Atypon, Ovid Technologies, Inc.",9577.0,24.0,399.04,2992.0,96.0,50.0,11,93.2,92.5
Hulya Karatas,"Hulya Karatas, Sefik Evren Erdener, Yasemin Gursoy-Ozdemir, Sevda Lule, Emine Eren-Koc_ak, Z�mr�t Duygu Sen, Turgay Dalkaraen",Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,"Science 339, 1092 (2013)",10.1126/science.1231897,2013,,,,,1,"Duplicated mirrored band, stamping in background",1,10/2/2015,,1.0,,1,Hacettepe University,Turkey,Neurological Sciences andPsychiantry,,"MD, PhD","Atypon, Ovid Technologies, Inc.",47.0,20.0,2.35,21.0,50.0,33.0,,,
Hwa-Jeong Lee,"Hwa-Jeong Lee, Jin-Woo Cho, Sang-Cheol Kim, Kyung-Hwa Kang, Sun-Kyung Lee, Sung-Hee Pi, Suk-Keun Lee, Eun-Cheol Kim",Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,Cytokine 35 (2006) 67�76,10.1016/j.cyto.2006.07.009,2006,,,,,1,"Duplicated lanes within blots, many many case",1,,,,1.0,1,Wonkwang University,Korea,Oral and Maxillofacial Pathology,,Ph.D.,"Elsevier Science, Ovid Technologies, Inc.",162.0,20.0,8.1,11.0,90.0,3.0,,,
Ingunn Holen,"Ingunn Holen, Jacob Whitworth, Faith Nutter, Alyson Evans, Hannah K Brown, Diane V Lefley, Ivana Barbaric, __Mark Jones, and Penelope D Ottewell","Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo","Breast Cancer Research 2012, 14:R86",10.1186/bcr3201,2012,,,1.0,,,Duplicated microscopy images,1,3/28/2017,,1.0,,1,University of Sheffield,UK,Oncology,,PhD,"BioMed Central, Europe PubMed Central, PubMed Central, White Rose Research Online",86.0,19.0,4.53,229.0,4.0,5.0,110,49.5,46.2
Inka Regine Weingaertner,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"1 PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1371/journal.pone.0053510,2013,01January,1.0,,1.0,,"duplicated blot, shifted microscopy",1,10/09/2015,,1.0,,1,Ludwig-Maximilians-University,Germany,Pharmacology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",3.0,3.0,1.0,3.0,1.0,10.0,,,
Isao Hara,"Isao Hara, Noriyuki Sato, Hideaki Miyake, Mototsugu Muramaki, Satoko Hikosaka, and Sadao Kamidono",Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,"Microbiol. Immunol., 48(4), 289�295, 2004",10.1111/j.1348-0421.2004.tb03525.x,2004,,,1.0,,,"Duplicated blot strips, two cases",1,,,,1.0,1,Kobe University Graduate,Japan,Urology,,,Wiley,326.0,20.0,16.3,82.0,223.0,10.0,,,
Itshak Golan,"Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor",Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,Journal of Autoimmunity 28 (2007) 99-113,10.1016/j.jaut.2007.02.007,2007,,,1.0,,,Duplicated FACS panel,1,,,,1.0,1,Hebrew University-Hadassah,Israel,General and Tumor Immunology,,Ph.D.,"ClinicalKey, Elsevier Science",6.0,7.0,0.86,2.0,2.0,0.0,,,
Jaeson Santos Calla-Choque,"Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-Gonz�lez, and Rossana Arroyoi",__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,"BioMed Research International Volume 2014, Article ID 424767",10.1155/2014/424767,2014,,,1.0,,,Multiple cases of reused blot strips,1,5/23/2016,,1.0,,1,,Mexico,,,,"Europe PubMed Central, Hindawi Limited, PubMed Central",5.0,7.0,0.71,86.0,322.0,27.0,,,
Jagannath Misra,"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,2014,01January,,1.0,,,duplicated (negative) western blot,1,5/6/2015,,1.0,,1,Chonnam National University,Korea,Nuclear Receptor Signals,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",10.0,11.0,0.91,11.0,90.0,3.0,,,
Janice D. Thomas,"Janice D. Thomas, Yan-Jie Zhang, Yue-Hua Wei, Jun-Hung Cho, Laura E. Morris, Hui-Yun Wang, and X.F. Steven Zheng",Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,"Cancer Cell 26, 754�769, November 10, 2014",10.1016/j.ccell.2014.09.008,2014,,,,1.0,,Mirrored blot,1,7/11/2016,,1.0,,1,The State University of New Jersey,USA,Oncology,,PhD,"Elsevier Science, Europe PubMed Central, PubMed Central",6.0,11.0,0.55,2992.0,96.0,50.0,,,
Javier Santander,"Javier Santander, Greg Golden, Soo-Young Wanda, and Roy Curtiss III",Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,"Infect. Immun. 2012, 80(8):2689",10.1128/IAI.00013-12,2012,IAI,,,1.0,,rotated duplicated colony photo,1,12/1/2015,,1.0,,1,Arizona State University,USA,Biodesign,,PhD,"Atypon, Europe PubMed Central, PubMed Central",52.0,16.0,3.25,2992.0,96.0,50.0,148,38.4,45.2
Jean-Philippe Lavigne,"Jean-Philippe Lavigne, He_l�ne Marchandin, Nicole Bouziges, and Albert SottoS",First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",10.1128/JCM.43.7.3512-3515.2005,2005,JCM,,,,1,gel panel appears to have patches,1,,,,1.0,1,,France,Antibiologie,,"MD, PhD","Atypon, Europe PubMed Central, PubMed Central",204.0,19.0,10.74,22.0,10.0,28.0,,,
Jessica M. Esparza,"Jessica M. Esparza, Eileen O�Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",10.1371/journal.pone.0053940,2013,01January,,1.0,,,duplicated colony strip,1,01/15/2016,,1.0,,1,Washington University in St Louis,USA,Genetics,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",6.0,11.0,0.55,2992.0,96.0,50.0,44,66.0,62.8
Ji-Yong Zhou,"Ji-Yong Zhou, Ji-Gang Chen, Jin-Yong Wang, Jian-Xiang Wu, Hui Gong",cDNA cloning and functional analysis of goose interleukin-2,Cytokine 30 (2005) 328-338,10.1016/j.cyto.2004.12.015,2005,,,,1.0,,Overlapping microscopy,1,,,,1.0,1,Zhejiang University,China,Virology and Immunology,,Ph.D,"Elsevier Science, Ovid Technologies, Inc.",43.0,17.0,2.53,426.0,4945.0,318.0,301-350,40.3,34.5
Jia Ma,"Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0069485,2013,07July,,,,1,"multiple overlapping microscopy images, groups of cells visible in multiple images",1,11/25/2014,,1.0,,1,Bengbu Medical College,China,Biochemistry and Molecular Biology,,,"Europe PubMed Central, PubMed Central, Public Library of Science",233.0,20.0,11.65,426.0,4945.0,318.0,,,
Jiale Ma,"Jiale Ma, Yinli Bao, Min Sun, Wenyang Dong, Zihao Pan, Wei Zhang, Chengping Lu, Huochun Yao",Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867�3879",10.1128/IAI.01769-14,2014,IAI,,,,1,Duplicated lanes within same blot,1,7/8/2015,,1.0,,1,Nanjing Agricultural University,China,Veterinary Medicine,,MS,"Atypon, Europe PubMed Central, PubMed Central",72.0,9.0,8.0,426.0,4945.0,318.0,,,
Jianming Chen,"Jianming Chen, Julian I. Rood, and Bruce A. McClane",Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,mBio 2(6):  2011,10.1128/mBio.00275-11,2011,mBio,,,1.0,,"Overlapping microscopy images, multiple times",1,1/27/2015,,1.0,,1,University of Pittsburgh,USA,Microbiology and Molecular Genetics,,PhD,"American Society for Microbiology, Atypon, Europe PubMed Central, PubMed Central",341.0,20.0,17.05,2992.0,96.0,50.0,76,54.6,55.1
Jianuo Liu,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",10.1371/journal.pone.0064904,2013,05May,,1.0,,,multiple duplicated microscopy images,1,9/19/2014,,1.0,,1,University of Nebraska Medical Center,USA,Neurophysiology,,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",45.0,19.0,2.37,2992.0,96.0,50.0,,,
Jing Hu,"Jing Hu, Holly Deng, and Eileen A. Friedman","Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","Int. J. Cancer: 132, 2258�2269 (2013)",10.1002/ijc.27917,2013,,,,1.0,,"Duplicated FACS panels, but different gating numbers",1,7/1/2015,,1.0,,1,SUNY Upstate Medical University,USA,Pathology,,,"Europe PubMed Central, Ovid Technologies, Inc., PubMed Central, Wiley",1679.0,20.0,83.95,2992.0,96.0,50.0,,,
Jing Huang,"Jing Huang, Xianghua Ye, Jian Guan, Bin Chen, Qisheng Li, Xiaokang Zheng, Laiyu Liu, Shuang Wang, Yanqing Ding, Yi Ding, and Longhua Chen",Tiam1 is associated with hepatocellular carcinoma metastasis,"Int. J. Cancer: 132, 90�100 (2013)",10.1002/ijc.27627,2013,,,,1.0,,Overlapping microscopy images; multiple cases,1,8/7/2015,,1.0,,1,Southern Medical University,China,Radiation Oncology,,,"Ovid Technologies, Inc., Wiley",2473.0,20.0,123.65,426.0,4945.0,318.0,,,
Kaitlyn Morse,"Kaitlyn Morse, Junzo Norimine, Guy H. Palmer, Eric L. Sutten, Timothy V. Baszler, and Wendy C. Brown","Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale","Infect. Immun. 2012, 80(1):215",10.1128/IAI.05798-11,2012,IAI,,,1.0,,"duplicated blot strips, slightly shifted",1,,,,1.0,1,Washington State University,USA,Vector-Borne Diseases,,PhD,"Atypon, Europe PubMed Central, PubMed Central",7.0,8.0,0.88,2992.0,96.0,50.0,301-350,29.9,30.6
Kang Fang,"Kang Fang, Shih-Ping Chen, Chia-Wei Lin, Wan-Chun Cheng, Hwei-Tien Huang",Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Lung Cancer 63 (2009) 227�234,10.1016/j.lungcan.2008.05.026,2009,,,,1.0,,Shifted reused blots,1,10/1/2016,1.0,,,1,National Taiwan Normal University,Taiwan,Life Science,,,"ClinicalKey, Elsevier Science",69.0,20.0,3.45,68.0,540.0,19.0,,,
Katherine M. Finan,"Katherine M. Finan, Greg Hodge, Ann M. Reynolds, Sandra Hodge, Mark D. Holmes, Andrew H. Baker, Paul N. Reynolds",In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,"Lung Cancer (2006) 53, 273�284",10.1016/j.lungcan.2006.06.006,2006,,,,1.0,,Overlapping microscopy images,1,6/13/2016,,1.0,,1,Royal Adelaide Hospital and Hanson Institute,Australia,Thoracic Medicine and Lung Research,,,Elsevier Science,2.0,10.0,0.2,105.0,2.0,0.0,,,
Kazutoshi Komiya,"Kazutoshi Komiya, Naoko Sueoka-Aragane, Akemi Sato, Takashi Hisatomi, Toru Sakuragi, Masahiro Mitsuoka, Toshimi Sato, Shinichiro Hayashi, Hiroto Izumi, Makoto Tsuneoka, Eisaburo Sueoka","Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer",Lung Cancer 69 (2010) 232�238,10.1016/j.lungcan.2009.10.010,2010,,,,,1,Manipulated FACS panels,1,11/1/2016,,1.0,,1,Saga University,Japan,Internal Medicine,,,"ClinicalKey, Elsevier Science",39.0,14.0,2.79,82.0,223.0,10.0,,,
Kelei Zhao,"Kelei Zhao, Xin Deng, Chuan He, Bisong Yue, and Min Wu",Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,"Infect. Immun. 2013, 81(12):4509",10.1128/IAI.01008-13,2013,IAI,,,,1,"duplicated blots, shifted, band duplicated within same panel",1,5/1/2015,1.0,,,1,Sichuan University,China,Biochemistry and Molecular Biology,,,"Atypon, Europe PubMed Central, PubMed Central",48.0,10.0,4.8,426.0,4945.0,318.0,,,
Kevin Y. Lee,"Kevin Y. Lee, Yuji Yamamoto, Jeremie Boucher, Jonathon N. Winnay, Stephane Gesta, John Cobb, Matthias Blu_her, and C. Ronald Kahn",Shox2 is a molecular determinant of depot-specific adipocyte function,"PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409�11414",10.1073/pnas.1310331110,2013,,,1.0,,,,1,4/11/2016,,1.0,,1,Harvard University,USA,Medicine,,Doctor,"Europe PubMed Central, HighWire, PubMed Central",55.0,17.0,3.24,2992.0,96.0,50.0,4,94.9,98.6
King Ching Ho,"King Ching Ho, Zhonghua Zhou, Yi-Min She, Alex Chun, Terry D. Cyr, and Xiaolong Yang",Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,"PNAS | March 22, 2011 | vol. 108 | no. 12, 870�4875",10.1073/pnas.1101273108,2011,,,,1.0,,,1,9/12/2016,,1.0,,1,Queen's University,Canada,Pathology and Molecular Medicine,,Master,"Europe PubMed Central, HighWire, PubMed Central",7.0,5.0,1.4,174.0,7.0,10.0,,,
Kotla Siva Reddy,"Kotla Siva Reddy, Dowlathabad. Muralidhar Rao, Hosur Joyappa Dechamma, Veluvarthy V.S. Suryanarayana, and Golla Ramalinga Reddy",Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Microbiol Immunol 2010; 54: 564�567,10.1111/j.1348-0421.2010.00241.x,2010,,,,,1,Marker bands all identical?,1,,,,1.0,1,Indian Veterinary Research Institute,India,Veterinary Research,,,"Ovid Technologies, Inc., Wiley",4.0,9.0,0.44,1265.0,7069.0,217.0,,,
